"","aveSalary","R","SPSS","Excel","Python","MATLAB","Java","SQL","SAS","Stata","EViews","Spark","Hadoop","公司类别","公司规模","学历要求","工作经验","地区","对数薪资"
"53",17500,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",8,"北上深",9.76995615991161
"54",17500,"0","0","0","0","0","0","0","0","0","0","0","0","合资","50-500人","本科",6,"北上深",9.76995615991161
"55",17500,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",0,"北上深",9.76995615991161
"56",17500,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","少于50人","无",0,"北上深",9.76995615991161
"57",17500,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","无",3,"北上深",9.76995615991161
"58",17500,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","大专",3,"北上深",9.76995615991161
"59",17500,"1","1","1","0","0","0","0","0","0","0","0","0","国企","500-1000人","本科",6,"北上深",9.76995615991161
"60",17499.5,"0","0","0","0","0","0","1","1","0","0","0","0","上市公司","50-500人","本科",3,"北上深",9.76992758807486
"61",17499.5,"1","1","0","1","0","1","1","0","0","0","0","0","民营公司","50-500人","本科",2,"北上深",9.76992758807486
"62",17499.5,"1","1","1","0","0","0","1","0","0","0","0","0","民营公司","500-1000人","本科",2,"北上深",9.76992758807486
"63",17499.5,"0","0","1","0","0","0","0","0","0","0","0","0","合资","10000人以上","无",0,"北上深",9.76992758807486
"64",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",3,"北上深",9.76992758807486
"65",17499.5,"1","1","0","1","0","0","1","1","0","0","0","0","合资","500-1000人","无",5,"北上深",9.76992758807486
"66",17499.5,"0","1","1","0","0","0","0","0","0","0","0","0","外资","1000-5000人","研究生",3,"北上深",9.76992758807486
"67",17499.5,"0","0","0","0","0","1","0","0","0","0","1","1","民营公司","50-500人","本科",0,"北上深",9.76992758807486
"68",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","上市公司","1000-5000人","本科",0,"北上深",9.76992758807486
"69",17499.5,"0","0","0","1","0","0","1","0","0","0","0","1","外资","10000人以上","本科",2,"北上深",9.76992758807486
"70",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","500-1000人","本科",3,"北上深",9.76992758807486
"71",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","500-1000人","本科",0,"北上深",9.76992758807486
"72",17499.5,"0","0","1","0","0","0","1","1","0","0","0","0","外资","1000-5000人","本科",0,"北上深",9.76992758807486
"73",17499.5,"0","0","1","0","0","0","1","0","0","0","0","0","外资","10000人以上","本科",0,"北上深",9.76992758807486
"74",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","10000人以上","本科",5,"北上深",9.76992758807486
"75",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","1000-5000人","本科",3,"北上深",9.76992758807486
"76",17499.5,"0","0","1","0","0","0","0","1","0","0","0","0","创业公司","50-500人","大专",0,"北上深",9.76992758807486
"77",17499.5,"0","0","1","1","0","1","0","0","0","0","0","0","上市公司","50-500人","本科",3,"北上深",9.76992758807486
"78",17499.5,"1","0","0","0","0","1","0","0","0","0","1","1","国企","50-500人","本科",3,"北上深",9.76992758807486
"79",17499.5,"0","0","1","0","1","0","0","0","0","0","0","0","民营公司","50-500人","本科",0,"北上深",9.76992758807486
"80",17499.5,"0","0","0","1","0","1","1","0","0","0","1","1","外资","50-500人","无",0,"北上深",9.76992758807486
"81",17499.5,"0","1","1","0","0","0","1","1","0","0","0","0","外资","50-500人","本科",3,"北上深",9.76992758807486
