"","offertype","season","type","cross","rl","intern","research","paper","first","sci","exchange","CollegeRankTop50","gpa_dis","toefl_dis","gre_dis","major_apply_new"
"5721","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.4~3.55","98~102","315~320","CS"
"4766","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","3.55~3.7","98~102","320~325","EE"
"2166","1","Fall","PhD",0,0,0,1,0,0,0,0,"Others",">3.7",">106",">330","CS"
"161","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","325~330","CS"
"5657","1","Fall","MS",0,0,1,0,0,0,0,0,"Top50",">3.7",">106","325~330","CS"
"4763","0","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","CS"
"2772","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","98~102","315~320","EE"
"2783","1","Fall","MS",0,0,0,1,0,0,0,1,"Top50","<=3.4","102~106","315~320","Material"
"5507","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4","98~102","315~320","CE"
"5639","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","<=98","315~320","CS"
"3720","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","3.4~3.55","<=98","315~320","CS"
"2767","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55","98~102","320~325","EE"
"5744","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","102~106","320~325","CS"
"6369","1","Fall","PhD",0,0,0,0,0,0,0,0,"Top50",">3.7",">106",">330","Material"
"922","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7",">106","325~330","Others"
"758","0","Fall","MS",0,0,1,0,0,0,0,0,"Top50",">3.7",">106","325~330","CS"
"1090","1","Fall","MS",0,1,1,0,0,0,0,0,"Top50",">3.7","102~106","320~325","MIS"
"3221","1","Fall","MS",0,0,1,0,0,0,0,0,"Others",">3.7","102~106","320~325","Stat/Biostat"
"3223","1","Fall","MS",0,0,1,0,0,0,0,0,"Others",">3.7","102~106","320~325","Stat/Biostat"
"9686","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","325~330","CivilEng"
"1302","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","315~320","CS"
"2000","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106",">330","CS"
"7310","1","Fall","MS",0,0,0,1,0,0,0,1,"Others","3.55~3.7","102~106","325~330","CS"
"2714","0","Fall","MS",0,0,0,1,0,0,0,0,"Top50","3.4~3.55",">106","315~320","CE"
"7551","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","<=98","320~325","Others"
"6540","1","Fall","PhD",0,0,0,1,0,0,0,0,"Top50",">3.7","102~106","320~325","Stat/Biostat"
"162","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","320~325","CS"
"6420","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.55~3.7","98~102","320~325","ME"
"2004","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","320~325","CS"
"6868","1","Fall","MS",0,0,0,1,0,0,0,0,"Others",">3.7","98~102","320~325","EE"
"1504","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","98~102","320~325","EE"
"6275","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","98~102","320~325","EE"
"9480","0","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","98~102","320~325","EE"
"5905","1","Fall","MS",0,0,0,0,0,0,0,1,"Top50","3.55~3.7","<=98","315~320","CS"
"9580","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","320~325","EE"
"7440","1","Fall","MS",1,0,1,0,0,1,1,0,"Top50",">3.7","102~106","325~330","CS"
"5733","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","<=3.4","<=98","315~320","CS"
"2728","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","325~330","CS"
"8947","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.55~3.7","98~102","320~325","ME"
"1950","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","Others"
"2541","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","325~330","MFE/Fin/FinMath"
"4462","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","<=315","CS"
"664","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","325~330","CS"
"6856","1","Fall","MS",0,0,0,1,0,1,0,0,"Others","3.55~3.7","98~102","320~325","EE"
"9384","0","Fall","MS",0,0,0,1,0,1,0,0,"Others","3.55~3.7","98~102","320~325","EE"
"3942","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","325~330","CivilEng"
"2876","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","320~325","Stat/Biostat"
"1465","1","Fall","混合",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","<=98","320~325","EE"
"6047","1","Fall","混合",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","<=98","320~325","EE"
"2766","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","<=3.4","98~102","320~325","EE"
"5743","1","Fall","MS",0,0,0,1,0,0,0,0,"Top50","<=3.4","<=98","<=315","CS"
"4676","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","102~106",">330","Others"
"2774","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","<=3.4",">106","325~330","EE"
"840","1","Fall","MS",0,0,1,0,0,0,0,0,"Top50","3.55~3.7",">106","320~325","CS"
"4955","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","98~102","320~325","CE"
"4082","1","Fall","PhD",0,0,0,0,1,0,1,0,"Others",">3.7","<=98","320~325","Others"
"7798","1","Fall","PhD",0,0,1,1,0,0,0,0,"Others","3.55~3.7","98~102","320~325","CS"
"4948","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","<=3.4","<=98","320~325","Others"
"5521","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","320~325","CE"
"2745","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","102~106","325~330","CS"
"3053","1","Fall","MS",1,0,0,0,1,1,1,0,"Top50","<=3.4","<=98","315~320","EE"
"6167","1","Fall","MS",0,0,0,1,0,0,0,1,"Top50",">3.7","98~102","320~325","EE"
"8536","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","CS"
"6404","1","Fall","PhD",0,0,0,0,0,0,0,0,"Top50","3.4~3.55","<=98","320~325","ME"
"5133","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","320~325","ME"
"1582","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4",">106",">330","MFE/Fin/FinMath"
"8926","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","320~325","IEOR"
"339","1","Fall","MS",0,0,1,0,0,0,0,0,"Top50",">3.7",">106",">330","CS"
"8800","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","320~325","EE"
"1102","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","102~106","325~330","MIS"
"5930","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55","<=98","315~320","CS"
"774","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","320~325","CS"
"5793","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","98~102","325~330","CS"
"695","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106","325~330","CS"
"5063","0","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","320~325","EE"
"513","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106","325~330","CS"
"5984","0","Fall","MS",1,0,0,1,1,1,0,0,"Top50","3.55~3.7","102~106","320~325","CS"
"346","1","Fall","MS",0,0,0,1,0,0,0,0,"Top50",">3.7",">106",">330","CS"
"3684","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","320~325","CE"
"2164","1","Fall","MS",1,0,1,0,0,0,0,0,"Others","<=3.4","<=98","<=315","CS"
"3512","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","320~325","IEOR"
"6962","0","Fall","MS",1,0,0,1,0,0,0,0,"Others","3.55~3.7",">106",">330","CS"
"8870","1","Fall","MS",1,0,0,1,0,0,0,1,"Others","3.4~3.55","102~106","315~320","EE"
"7169","1","Fall","MS",0,0,1,1,0,0,0,0,"Others","3.4~3.55",">106","325~330","MIS"
"6518","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","315~320","Stat/Biostat"
"2001","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106","320~325","CS"
"6521","0","Fall","MS",0,0,1,1,0,0,0,1,"Top50","3.4~3.55","98~102","325~330","Stat/Biostat"
"6903","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","<=315","MIS"
"6408","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55","98~102","320~325","ME"
"9013","1","Fall","MS",0,0,0,1,0,0,0,0,"Others","3.4~3.55",">106",">330","CS"
"4263","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","315~320","CS"
"8750","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","3.4~3.55","98~102","320~325","CS"
"9873","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","CS"
"6687","0","Fall","MS",0,0,1,1,0,0,0,0,"Others","3.55~3.7","<=98","315~320","EE"
"868","1","Fall","MS",1,0,1,0,0,0,0,1,"Top50","3.4~3.55",">106",">330","CS"
"2735","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50",">3.7","102~106","315~320","CS"
"7826","1","Fall","混合",0,0,0,1,1,0,0,0,"Others",">3.7","102~106","315~320","Others"
"857","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.55~3.7","98~102","325~330","CS"
"6811","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","320~325","CS"
"8762","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","Others"
"4686","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7",">106",">330","ME"
"9052","1","Fall","MS",0,0,0,1,0,0,0,0,"Others",">3.7","98~102","320~325","EE"
"234","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","320~325","IEOR"
"5827","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7",">106",">330","CS"
"9271","1","Fall","MS",0,0,0,0,1,0,1,0,"Others","<=3.4","98~102","315~320","CE"
"5139","0","Fall","MS",0,0,1,0,0,0,0,0,"Others","<=3.4","<=98","315~320","ME"
"2173","1","Fall","MS",0,0,1,1,0,0,0,0,"Others","<=3.4","102~106","320~325","Stat/Biostat"
"9415","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","<=3.4","<=98","315~320","ME"
"9608","0","Fall","MS",0,0,1,1,0,0,0,0,"Others","3.4~3.55","98~102","325~330","Stat/Biostat"
"9666","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","EE"
"6797","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","CS"
"5534","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4","98~102","320~325","CE"
"4276","0","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","Others"
"3963","1","Fall","MS",0,0,0,1,1,0,0,0,"Others","3.55~3.7","102~106","325~330","CS"
"6021","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.4~3.55","98~102","320~325","CS"
"7419","1","Fall","PhD",0,0,0,0,1,1,0,0,"Top50","<=3.4","<=98","320~325","Others"
"4780","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","320~325","Stat/Biostat"
"5114","0","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.55~3.7","98~102","320~325","ME"
"8324","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","315~320","MIS"
"2727","1","Fall","MS",0,0,1,0,0,0,0,0,"Top50",">3.7",">106","320~325","CS"
"2665","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","CS"
"661","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4","98~102","315~320","CS"
"8593","1","Fall","MS",1,0,0,0,0,0,0,0,"Others",">3.7","<=98","325~330","CS"
"7466","1","Fall","MS",0,0,0,0,0,0,0,1,"Top50",">3.7","98~102","315~320","EE"
"7914","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7",">106",">330","CS"
"5035","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7",">106","320~325","EE"
"627","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106","320~325","CS"
"266","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","325~330","Stat/Biostat"
"6327","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","<=98","320~325","Others"
"2372","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","CivilEng"
"3151","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","325~330","EE"
"5663","0","Fall","MS",0,0,0,0,0,0,0,1,"Top50","3.55~3.7","102~106","325~330","CS"
"2073","1","Fall","MS",0,0,0,1,0,0,0,0,"Top50",">3.7","98~102","320~325","EE"
"9663","1","Fall","MS",1,0,0,1,1,1,1,0,"Others","3.55~3.7","102~106","325~330","EE"
"8678","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","320~325","CS"
"999","1","Fall","MS",0,0,0,0,1,0,1,0,"Top50",">3.7","98~102","320~325","Material"
"4314","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","315~320","ME"
"413","0","Fall","MS",1,0,0,1,0,0,0,0,"Top50",">3.7","98~102","320~325","EE"
"7577","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.55~3.7","98~102","320~325","ME"
"1364","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106","320~325","CS"
"2749","1","Fall","MS",0,0,0,0,1,0,0,0,"Top50","<=3.4","98~102","320~325","CS"
"6533","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","325~330","Stat/Biostat"
"7828","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","325~330","Stat/Biostat"
"7540","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","102~106","320~325","EE"
"6334","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106",">330","IEOR"
"4411","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","325~330","MFE/Fin/FinMath"
"3195","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","320~325","EE"
"2289","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","320~325","Others"
"7535","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","98~102","320~325","EE"
"7475","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106","320~325","EE"
"7505","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","98~102","315~320","EE"
"1396","1","Fall","MS",0,0,1,0,0,0,0,0,"Top50",">3.7",">106",">330","CS"
"2750","1","Fall","MS",1,0,0,0,0,0,0,1,"Top50","3.55~3.7","102~106","320~325","CS"
"7522","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55","98~102","325~330","EE"
"5863","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","320~325","CS"
"1160","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","325~330","CS"
"8389","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","CS"
"9272","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","CE"
"7529","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106","320~325","EE"
"7574","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55","98~102","315~320","ME"
"5466","1","Fall","PhD",0,0,0,1,0,0,0,1,"Others",">3.7",">106","320~325","MIS"
"7755","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","315~320","ME"
"3876","0","Fall","MS",0,0,1,0,0,0,0,0,"Others","<=3.4","<=98","315~320","ME"
"1308","0","Fall","MS",0,0,1,0,0,0,0,0,"Top50","3.55~3.7","98~102","320~325","CS"
"3144","1","Fall","PhD",1,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","CS"
"9630","1","Fall","MS",0,0,0,1,0,0,0,1,"Others",">3.7","98~102","320~325","EE"
"5258","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","EE"
"628","1","Fall","MS",0,0,0,0,1,1,0,0,"Top50",">3.7","102~106","320~325","CS"
"1372","1","Fall","MS",1,0,0,0,1,1,0,0,"Top50","3.55~3.7",">106","320~325","CS"
"9526","1","Fall","PhD",0,0,0,1,0,1,0,0,"Others","3.55~3.7","102~106","320~325","CE"
"9536","1","Fall","PhD",1,0,0,0,1,1,0,0,"Others","3.55~3.7",">106","320~325","CS"
"559","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7",">106","320~325","CS"
"10067","1","Fall","MS",1,1,1,1,0,0,0,0,"Top50",">3.7","102~106","320~325","Others"
"5487","1","Fall","MS",1,1,1,1,0,0,0,0,"Top50",">3.7","102~106","320~325","Others"
"2498","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","102~106","325~330","EE"
"2553","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","320~325","Others"
"5888","1","Fall","MS",0,0,1,0,0,0,0,0,"Top50","<=3.4","98~102","325~330","CS"
"9019","0","Fall","MS",0,0,1,0,0,0,0,0,"Others",">3.7",">106","320~325","CS"
"9074","0","Fall","PhD",0,0,0,0,0,1,0,0,"Others","3.4~3.55","102~106","315~320","EE"
"7721","0","Fall","MS",1,0,0,0,0,0,0,0,"Others","<=3.4",">106","325~330","EE"
"1862","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106","320~325","MIS"
"2554","1","Fall","MS",0,0,1,1,0,0,0,0,"Others","3.55~3.7","98~102","320~325","Others"
"1366","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106","320~325","CS"
"1375","0","Fall","MS",0,0,1,1,0,0,0,0,"Top50","3.4~3.55","102~106","320~325","CS"
"1382","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","98~102","320~325","CS"
"1315","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","320~325","CS"
"3877","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","315~320","ME"
"6430","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106",">330","MFE/Fin/FinMath"
"9681","1","Fall","PhD",0,0,0,1,0,0,0,0,"Others",">3.7",">106","325~330","Stat/Biostat"
"4618","1","Fall","MS",1,0,0,1,0,0,0,0,"Top50","3.55~3.7",">106",">330","CS"
"364","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7",">106","320~325","CS"
"3150","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","<=98","320~325","EE"
"1646","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4","102~106","320~325","Stat/Biostat"
"9335","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","<=315","ME"
"8020","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7",">106","320~325","CS"
"5995","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.4~3.55","98~102","325~330","CS"
"10026","0","Fall","MS",1,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","EE"
"8662","1","Fall","MS",1,0,0,0,0,0,0,0,"Others",">3.7","<=98","315~320","CS"
"1863","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106","325~330","MIS"
"4574","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","EE"
"6679","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","315~320","CS"
"5286","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.55~3.7","98~102","320~325","ME"
"6673","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","CS"
"4606","0","Fall","MS",1,0,1,0,0,0,0,0,"Top50","3.4~3.55",">106",">330","CS"
"4605","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50",">3.7","102~106","320~325","CS"
"4101","1","Fall","MS",0,0,1,0,1,1,0,0,"Others","3.4~3.55","<=98","325~330","Others"
"7819","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","3.55~3.7","102~106","325~330","MIS"
"1692","1","Fall","MS",1,0,0,0,0,0,0,1,"Others","3.55~3.7","102~106","320~325","EE"
"2915","1","Fall","MS",0,1,0,0,1,0,1,0,"Others","3.55~3.7","102~106","325~330","Others"
"1565","1","Fall","MS",0,0,1,0,0,0,0,0,"Top50","3.55~3.7",">106","325~330","ME"
"10002","0","Fall","MS",1,0,0,0,0,0,0,0,"Others","<=3.4","<=98","<=315","EE"
"8896","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","<=98","320~325","EE"
"1059","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7",">106",">330","MIS"
"7454","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50",">3.7","102~106","320~325","CS"
"898","1","Fall","MS",0,0,0,0,0,1,1,0,"Top50",">3.7",">106","320~325","CS"
"141","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","320~325","CE"
"987","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","<=98","320~325","Others"
"8455","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","325~330","CS"
"5535","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4","102~106","320~325","CE"
"1828","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7",">106","320~325","IEOR"
"4190","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","<=3.4","102~106","320~325","MIS"
"923","1","Fall","混合",0,0,0,0,0,0,0,0,"Top50","<=3.4",">106","325~330","Others"
"1120","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","325~330","MIS"
"1173","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","<=315","Material"
"10112","0","Fall","MS",0,1,0,0,0,0,0,0,"Top50","<=3.4","102~106","325~330","CS"
"2006","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","325~330","Others"
"5650","1","Fall","MS",0,0,1,1,0,1,1,0,"Top50","3.4~3.55","102~106","320~325","CS"
"431","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4","<=98","<=315","Others"
"2076","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50",">3.7","102~106","325~330","EE"
"7508","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","325~330","EE"
"2162","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","<=3.4","<=98","315~320","CS"
"2163","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","325~330","CS"
"9327","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","320~325","EE"
"7111","1","Fall","MS",0,0,0,0,1,0,1,0,"Others",">3.7","102~106","320~325","Material"
"8392","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","320~325","CS"
"1856","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","325~330","MFE/Fin/FinMath"
"9806","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","<=3.4","102~106","325~330","EE"
"422","0","Fall","PhD",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106",">330","Material"
"7514","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","325~330","EE"
"9261","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","325~330","CS"
"6015","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4","98~102","325~330","CS"
"7534","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","320~325","EE"
"8702","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","98~102","325~330","CS"
"5837","1","Fall","PhD",0,1,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","320~325","CS"
"7011","0","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7",">106","325~330","CS"
"3428","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","98~102","320~325","CS"
"1571","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55","<=98","315~320","ME"
"1019","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","102~106","320~325","Material"
"2106","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","102~106","320~325","Material"
"7122","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","320~325","Material"
"8940","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","320~325","Material"
"9837","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","320~325","Material"
"1976","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","102~106","315~320","CE"
"6981","1","Fall","MS",0,0,1,0,0,0,0,0,"Others",">3.7",">106","320~325","CS"
"3263","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","325~330","CS"
"9836","1","Fall","PhD",0,0,0,0,0,0,0,0,"Others","3.55~3.7","98~102","320~325","Others"
"2348","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","320~325","Stat/Biostat"
"590","1","Fall","MS",0,0,0,0,0,1,0,0,"Top50",">3.7","98~102","320~325","CS"
"7366","0","Fall","MS",0,0,1,0,0,0,0,0,"Others","3.55~3.7",">106",">330","CS"
"9557","0","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","315~320","CS"
"6978","1","Fall","MS",0,0,0,1,0,1,1,0,"Others",">3.7","102~106","315~320","CS"
"6664","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7",">106","320~325","CivilEng"
"6238","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.4~3.55","102~106","320~325","EE"
"5282","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","325~330","ME"
"1578","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.55~3.7","98~102","320~325","ME"
