"","offertype","season","type","cross","rl","intern","research","paper","first","sci","exchange","CollegeRankTop50","gpa_dis","toefl_dis","gre_dis","major_apply_new"
"5850","1","Fall","MS",0,0,1,0,0,0,0,0,"Top50","3.55~3.7",">106","320~325","CS"
"4458","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","<=315","CS"
"9490","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","320~325","ME"
"6710","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","320~325","ME"
"9406","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","ME"
"1703","1","Fall","PhD",0,1,0,0,0,0,0,0,"Top50",">3.7","98~102","320~325","Others"
"8236","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","98~102","320~325","CS"
"9906","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","315~320","CS"
"2510","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7",">106","325~330","Others"
"8741","0","Fall","MS",0,0,1,0,0,0,0,0,"Others","3.55~3.7","98~102","315~320","CS"
"9289","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","CS"
"6663","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","CivilEng"
"7252","0","Fall","MS",1,0,0,0,0,0,0,0,"Others","<=3.4","102~106","315~320","CS"
"8329","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","102~106","320~325","MIS"
"7166","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","MIS"
"4457","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","320~325","CS"
"8685","0","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","320~325","CS"
"9347","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","315~320","Stat/Biostat"
"1691","1","Fall","MS",0,0,0,1,1,1,0,0,"Others","3.4~3.55","<=98","315~320","EE"
"3352","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7",">106","325~330","CS"
"9182","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","315~320","CS"
"1628","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","315~320","Stat/Biostat"
"6403","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55","102~106","320~325","ME"
"9700","1","Fall","PhD",1,1,0,0,1,0,0,0,"Others","<=3.4",">106","325~330","EE"
"2539","1","Fall","MS",0,0,1,1,0,0,0,0,"Others","3.4~3.55",">106","325~330","MFE/Fin/FinMath"
"7217","0","Fall","MS",0,0,0,1,0,0,0,0,"Others","<=3.4","98~102","315~320","Stat/Biostat"
"3277","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7",">106","320~325","CS"
"3246","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","315~320","CE"
"8604","0","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","315~320","CS"
"8287","1","Fall","MS",0,0,0,0,1,0,1,0,"Others","3.4~3.55","<=98","<=315","Material"
"9396","1","Fall","MS",0,0,0,0,1,0,1,0,"Others","3.4~3.55","<=98","<=315","Material"
"1682","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","325~330","CS"
"3833","1","Fall","MS",1,0,1,0,0,0,0,0,"Others","<=3.4","98~102","325~330","CS"
"1791","0","Fall","MS",0,0,0,1,0,0,0,0,"Top50",">3.7","98~102","320~325","EE"
"3540","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","320~325","MIS"
"3386","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","315~320","CS"
"5123","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","102~106","320~325","ME"
"3989","1","Fall","MS",0,1,0,1,0,0,0,0,"Others","<=3.4","102~106","320~325","CS"
"3022","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","325~330","CS"
"7264","1","Fall","PhD",1,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","315~320","EE"
"6607","1","Fall","MS",0,0,1,0,0,0,0,0,"Top50",">3.7",">106",">330","CS"
